# tic_id,sector,outburst,flare,tpeak,tpeak_ll,tpeak_ul,ampl,ampl_ll,ampl_ul,fwhm,fwhm_ll,fwhm_ul,duration,duration_ll,duration_ul,bol_energy,bol_energy_ll,bol_energy_ul,M_CME,M_CME_ll,M_CME_ul,tessmag,teff,radius,logg,type,tess_rot,kelt_rot,rot,FFD_alpha,FFD_beta,preb_chem,ozone_depl_cons,ozone_depl_perm
141334293,1,1,1,2458343.161,7.46E-05,7.45E-05,0.170971154,0.006825156,0.007045314,0.003924379,0.000275768,0.00030459,0.059537262,0.054800548,0.064790648,6.51E+32,2.95E+31,4.13E+31,7.23E+19,6.92E+19,4.66E+20,12.67000008,3137,nan,nan,M0-M4.5,nan,nan,nan,-0.335814574,10.18828844,1,0,0
141423634,1,1,1,2458345.061,0.000243627,0.000277773,0.075799742,0.00603395,0.006217825,0.006795161,0.00106449,0.001329372,0.082454158,0.067767344,0.100967676,5.19E+32,6.47E+31,5.99E+31,3.95E+19,3.82E+19,9.5E+20,13.05099964,3188,nan,nan,M0-M4.5,0.947,nan,0.947,-1.218251922,38.47025101,0,0,0
141426525,1,1,1,2458338.3,0.000369762,0.000396598,0.075973967,0.01027829,0.01111012,0.006550037,0.001595322,0.001812178,0.079534129,0.057487242,0.105787725,8.16E+32,2.41E+32,2.42E+32,5.73E+19,5.32E+19,1.17E+21,13.12699986,3267,nan,nan,M0-M4.5,nan,nan,nan,nan,nan,0,0,0
141769356,1,1,1,2458333.437,4.39E-05,4.54E-05,1.273556522,0.027221779,0.027099386,0.004061965,0.000155686,0.000159509,0.090974243,0.087187539,0.094867615,3.29E+33,8.66E+31,8.04E+31,1.47E+20,1.39E+20,2.51E+21,13.79800034,3133,0.212,5.05057001,M0-M4.5,nan,nan,nan,-0.552245571,16.87648642,0,0,0
141914082,1,1,1,2458341.909,0.000162756,0.000168024,0.285903191,0.007992229,0.008271914,0.019116205,0.000830295,0.000826591,0.269116024,0.268282683,0.269942699,3.58E+35,2.01E+34,2.47E+34,3.53E+21,3.45E+21,1.1E+23,8.48711014,4260,0.97127402,nan,FGK,nan,nan,nan,-2.34500788,82.07557902,0,1,1
141975926,1,1,1,2458326.045,0.000100603,0.000101802,0.066127215,0.003013404,0.003173425,0.00475049,0.000428896,0.00048141,0.055230552,0.049497162,0.061737284,8.97E+32,8.02E+31,5E+31,6.9E+19,6.34E+19,2E+21,11.11600018,3340,nan,nan,M0-M4.5,nan,nan,nan,-2.505024367,81.40870645,0,0,0
142052608,1,1,1,2458326.583,0.000219747,0.000212023,0.069517278,0.009334122,0.010571312,0.003400555,0.000791429,0.00096334,0.040167068,0.029420294,0.053843872,2.55E+32,4.94E+31,4.61E+31,4E+19,3.77E+19,2.23E+20,13.06400013,3152,nan,nan,M0-M4.5,nan,nan,nan,-2.335320794,74.34898857,0,0,0
142052876,1,1,1,2458335.399,2.92E-05,3.6E-05,0.184612238,0.022590366,0.031937683,0.000895075,0.000202417,0.000217521,0.013833472,0.01036677,0.017836845,5.92E+31,6.57E+30,5.86E+30,1.58E+19,1.51E+19,4.22E+20,10.88899994,2892,0.19400001,5.05595016,M4.5-M10,0.564,nan,0.564,-0.584956708,17.67424833,0,0,0
142087451,1,1,1,2458328.9,0.000339659,0.000372903,0.126774553,0.011517101,0.010584389,0.009871229,0.001458372,0.001468279,0.138741387,0.115241152,0.162781628,4E+33,8.07E+32,4.92E+32,1.44E+20,1.32E+20,4.42E+21,13.36100006,3380,nan,nan,M0-M4.5,nan,nan,nan,-4.180757891,139.2159807,0,0,0
143821840,1,1,1,2458339.904,0.000117214,0.000112755,0.072608938,0.002721697,0.002975592,0.010299874,0.00066184,0.000645659,0.123331233,0.114037807,0.132697994,1.81E+34,1.41E+33,1.56E+33,4.3E+20,4.09E+20,5.91E+21,10.85299969,4123,0.66894501,4.59744978,FGK,nan,nan,nan,nan,nan,0,0,0
144217628,1,1,1,2458344.271,8.48E-05,9.07E-05,0.047333405,0.002993091,0.003362421,0.003918568,0.000442732,0.000462036,0.040697074,0.035257019,0.046610466,5.84E+33,3.65E+32,4.32E+32,2.81E+20,2.72E+20,3.11E+21,10.97099972,4242,0.690786,4.58146,FGK,nan,nan,nan,nan,nan,0,0,0
147085676,1,1,1,2458331.125,0.001001485,0.001027374,0.006378134,0.001103825,0.001130781,0.011959538,0.003043609,0.003902768,0.037767044,0.023580236,0.058047247,2.63E+33,6.27E+32,6.38E+32,1.11E+20,1.06E+20,1.86E+21,10.8579998,4162,0.67636502,4.59187984,FGK,nan,nan,nan,-0.504435435,15.98073111,0,0,0
147133612,1,1,1,2458335.487,1.39E-05,1.46E-05,0.153064474,0.004506413,0.005112726,0.001808737,0.000106824,0.000103534,0.0266936,0.024926916,0.028456951,4.73E+33,1.69E+32,1.56E+32,2.07E+20,1.81E+20,2.4E+21,10.36299992,3848,0.60399997,4.67362022,M0-M4.5,nan,nan,nan,nan,nan,0,0,0
147272181,1,1,1,2458343.101,4.46E-05,4.19E-05,0.04427288,0.001406836,0.001422716,0.002904976,0.000162366,0.000173034,0.029450295,0.027473608,0.031563649,6.62E+33,3.06E+32,2.27E+32,3.71E+20,3.62E+20,4.05E+21,9.55000019,4538,0.74383903,4.54952002,FGK,nan,nan,nan,nan,nan,0,0,0
147302016,1,1,1,2458327.712,7.56E-05,7.71E-05,0.038005452,0.001249276,0.001307563,0.00415644,0.000260824,0.000285889,0.039783731,0.036803701,0.043077097,2.65E+34,1.12E+33,1.2E+33,8.9E+20,8.59E+20,2.18E+22,10.20699978,5557,0.88844699,4.53205013,FGK,nan,nan,nan,nan,nan,0,0,0
147421845,1,1,1,2458327.925,0.000104309,0.000108488,0.108335381,0.007109169,0.007531697,0.003796833,0.000452772,0.000507388,0.051127178,0.044180442,0.059043924,2.31E+32,1.87E+31,2.26E+31,3.1E+19,2.82E+19,4.47E+20,12.69400024,3033,nan,nan,M4.5-M10,nan,nan,nan,-1.434202565,45.59619711,0,0,0
149101411,1,1,1,2458327.477,0.000291895,0.000356548,0.081182737,0.01185047,0.012090944,0.004868589,0.001131647,0.002104706,0.06031727,0.044103774,0.090004233,6.85E+32,1.49E+32,2.08E+32,5.2E+19,4.89E+19,1.16E+21,13.6590004,3316,nan,nan,M0-M4.5,nan,nan,nan,-0.722065256,22.58790724,0,0,0
149103941,1,1,1,2458327.989,0.000178703,0.000185451,0.103712983,0.017427443,0.030888641,0.002493337,0.000990199,0.000945157,0.033170332,0.018963523,0.049097158,2.97E+32,6.77E+31,8.24E+31,2.3E+19,2.13E+19,1.47E+20,13.27799988,3150,nan,nan,M0-M4.5,nan,nan,nan,nan,nan,0,0,0
149216532,1,1,1,2458326.018,0.000545865,0.000573236,0.151618089,0.012282001,0.013245325,0.021623689,0.002899214,0.003314784,0.271049377,0.267999347,0.274552746,1.53E+33,2.74E+32,2.95E+32,6.7E+19,6.44E+19,1.61E+21,13.18599987,3057,nan,nan,M4.5-M10,nan,nan,nan,-0.758671873,23.86561446,0,0,0
149248196,1,1,1,2458327.924,1.5E-05,1.53E-05,0.034105246,0.000314909,0.000323267,0.003271665,5.9E-05,5.65E-05,0.0300003,0.02934696,0.03063364,1.23E+34,1.71E+32,1.19E+32,8.71E+20,8.55E+20,1.73E+22,6.04899979,5128,0.83607101,nan,FGK,nan,nan,nan,nan,nan,0,0,0
